문제번호,문제유형,문제,데이터셋URL,코드템플릿,정답코드,해설,난이도
1,전처리,결측치가 있는 컬럼의 이름을 모두 구하세요.,https://raw.githubusercontent.com/mwaskom/seaborn-data/master/titanic.csv,"import pandas as pd
df = pd.read_csv('데이터셋URL')
# 여기에 코드를 작성하세요",df.columns[df.isnull().any()].tolist(),isnull().any()로 결측치가 있는 컬럼을 찾고, columns로 컬럼명을 가져올 수 있습니다.,중급
2,데이터분석,연속형 변수인 나이(age)와 요금(fare)의 상관계수를 구하세요.,https://raw.githubusercontent.com/mwaskom/seaborn-data/master/titanic.csv,"import pandas as pd
df = pd.read_csv('데이터셋URL')
# 여기에 코드를 작성하세요",df[['age', 'fare']].corr().iloc[0, 1],corr() 메서드로 상관계수를 구할 수 있습니다. 상관계수는 -1과 1 사이의 값을 가집니다.,중급
3,데이터분석,범주형 변수인 성별(sex)의 고유값을 모두 구하세요.,https://raw.githubusercontent.com/mwaskom/seaborn-data/master/titanic.csv,"import pandas as pd
df = pd.read_csv('데이터셋URL')
# 여기에 코드를 작성하세요",df['sex'].unique().tolist(),unique() 메서드를 사용하면 고유값을 구할 수 있습니다.,초급
4,데이터분석,비지도학습의 예시로, 객실 등급(pclass)별로 그룹화하여 각 그룹의 평균 요금을 구하세요.,https://raw.githubusercontent.com/mwaskom/seaborn-data/master/titanic.csv,"import pandas as pd
df = pd.read_csv('데이터셋URL')
# 여기에 코드를 작성하세요",df.groupby('pclass')['fare'].mean(),groupby()를 사용하면 그룹별 집계를 수행할 수 있습니다.,중급
5,전처리,과적합 방지를 위해 데이터의 기본 정보를 확인하세요. 데이터의 행 수와 컬럼 수를 구하세요.,https://raw.githubusercontent.com/mwaskom/seaborn-data/master/titanic.csv,"import pandas as pd
df = pd.read_csv('데이터셋URL')
# 여기에 코드를 작성하세요",df.shape,shape 속성을 사용하면 (행 수, 컬럼 수) 튜플을 얻을 수 있습니다.,초급
6,데이터분석,회귀 문제 예시: 나이(age)와 요금(fare)의 관계를 확인하기 위해 나이가 30 이상인 승객의 평균 요금을 구하세요.,https://raw.githubusercontent.com/mwaskom/seaborn-data/master/titanic.csv,"import pandas as pd
df = pd.read_csv('데이터셋URL')
# 여기에 코드를 작성하세요",df[df['age'] >= 30]['fare'].mean(),조건부 필터링 후 특정 컬럼의 평균을 구할 수 있습니다.,초급
7,통계,정밀도 계산 예시: 생존한 승객(survived=1) 중 여성의 비율을 구하세요.,https://raw.githubusercontent.com/mwaskom/seaborn-data/master/titanic.csv,"import pandas as pd
df = pd.read_csv('데이터셋URL')
# 여기에 코드를 작성하세요",(df[(df['survived'] == 1) & (df['sex'] == 'female')].shape[0] / df[df['survived'] == 1].shape[0]),조건을 만족하는 데이터의 비율을 계산할 수 있습니다.,중급
8,데이터분석,범주형 변수인 객실 등급(pclass)의 각 값별 빈도를 구하세요.,https://raw.githubusercontent.com/mwaskom/seaborn-data/master/titanic.csv,"import pandas as pd
df = pd.read_csv('데이터셋URL')
# 여기에 코드를 작성하세요",df['pclass'].value_counts(),value_counts()를 사용하면 각 값의 빈도를 구할 수 있습니다.,초급
9,전처리,차원 축소 전 데이터 확인: 데이터의 컬럼 수를 구하세요.,https://raw.githubusercontent.com/mwaskom/seaborn-data/master/titanic.csv,"import pandas as pd
df = pd.read_csv('데이터셋URL')
# 여기에 코드를 작성하세요",len(df.columns),len() 함수와 columns 속성을 사용하면 컬럼 수를 구할 수 있습니다.,초급
10,통계,분류 모델 평가 예시: 전체 승객 중 생존한 승객의 비율(정확도 개념)을 구하세요.,https://raw.githubusercontent.com/mwaskom/seaborn-data/master/titanic.csv,"import pandas as pd
df = pd.read_csv('데이터셋URL')
# 여기에 코드를 작성하세요",df['survived'].mean(),생존 여부가 0 또는 1이므로 평균값이 생존 비율(정확도 개념)이 됩니다.,초급

