문제번호,문제,선택지1,선택지2,선택지3,선택지4,정답,해설
1,다음 중 데이터베이스 정규화의 목적이 아닌 것은?,데이터 중복 제거,데이터 무결성 유지,저장 공간 절약,쿼리 성능 저하,4,정규화는 쿼리 성능을 향상시킵니다.
2,다음 중 SQL 집계 함수가 아닌 것은?,COUNT,SUM,AVG,PRINT,4,PRINT는 SQL 함수가 아닙니다.
3,다음 중 NoSQL 데이터베이스 유형이 아닌 것은?,문서형,키-값형,컬럼형,관계형,4,관계형은 SQL 데이터베이스입니다.
4,다음 중 데이터 웨어하우스의 특징이 아닌 것은?,시계열 데이터,정규화된 스키마,비정규화된 스키마,읽기 중심,2,데이터 웨어하우스는 비정규화된 스키마를 사용합니다.
5,다음 중 ETL 프로세스의 단계가 아닌 것은?,Extract,Transform,Load,Delete,4,ETL은 Extract, Transform, Load입니다.
6,다음 중 데이터 마이닝 기법이 아닌 것은?,연관규칙,군집분석,회귀분석,데이터 입력,4,데이터 입력은 마이닝 기법이 아닙니다.
7,다음 중 빅데이터 처리 프레임워크가 아닌 것은?,Hadoop,Spark,Kafka,Excel,4,Excel은 빅데이터 처리 프레임워크가 아닙니다.
8,다음 중 실시간 데이터 처리에 적합한 것은?,배치 처리,스트림 처리,ETL,데이터 웨어하우스,2,스트림 처리는 실시간 데이터 처리에 적합합니다.
9,다음 중 데이터 품질 문제가 아닌 것은?,결측치,중복 데이터,일관성 없는 데이터,정확한 데이터,4,정확한 데이터는 품질 문제가 아닙니다.
10,다음 중 데이터 거버넌스의 목적이 아닌 것은?,데이터 품질 관리,데이터 보안,데이터 무단 사용,데이터 표준화,3,데이터 무단 사용 방지가 목적입니다.

